Kod,Nazwa,ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku przedprodukcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym,współczynnik obciążenia demograficznego osobami starszymi,odsetek osób w wieku 65 lat i więcej w populacji ogółem,odsetek osób w wieku 65 lat i więcej w populacji ogółem - mężczyźni,odsetek osób w wieku 65 lat i więcej w populacji ogółem - kobiety
,,2024,2024,2024,2024,2024,2024,2024
,,[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba]
2009000,Powiat sejneński,"72,1","154,7","43,8","33,3","21,7","18,5","24,9"
2010000,Powiat siemiatycki,"75,2","179,1","48,3","37,1","23,7","20,2","27,0"
2011000,Powiat sokólski,"71,6","163,1","44,4","34,5","22,3","18,2","26,2"
2012000,Powiat suwalski,"70,2","109,8","36,7","28,0","18,4","15,9","21,0"
2013000,Powiat wysokomazowiecki,"74,5","129,5","42,1","32,4","20,7","17,6","23,9"
2014000,Powiat zambrowski,"71,6","132,2","40,8","30,6","20,0","16,5","23,5"
2061000,Powiat m. Białystok,"71,4","134,7","41,0","31,9","20,6","16,5","24,3"
2062000,Powiat m. Łomża,"78,0","146,1","46,3","34,1","21,9","18,3","25,1"
2063000,Powiat m. Suwałki,"71,2","121,5","39,0","29,0","19,0","15,9","21,9"
2200000,POMORSKIE,"70,3","113,4","37,4","29,2","19,0","16,2","21,7"
2201000,Powiat bytowski,"72,5","101,7","36,6","27,7","18,0","15,8","20,1"
2202000,Powiat chojnicki,"72,9","102,0","36,8","28,0","18,2","15,5","20,8"
2203000,Powiat człuchowski,"73,4","128,7","41,3","31,2","20,2","17,7","22,8"
2204000,Powiat gdański,"64,7","75,6","27,9","21,5","14,4","12,7","16,2"
2205000,Powiat kartuski,"72,2","59,3","26,9","20,1","13,0","11,8","14,3"
2206000,Powiat kościerski,"72,9","92,4","35,0","26,4","17,2","15,0","19,3"
2207000,Powiat kwidzyński,"67,9","112,6","35,9","27,5","18,3","15,4","21,2"
2208000,Powiat lęborski,"73,9","117,6","40,0","30,6","19,7","17,0","22,3"
2209000,Powiat malborski,"72,7","134,5","41,7","32,2","20,9","17,9","23,7"
2210000,Powiat nowodworski,"69,5","134,0","39,8","30,5","20,1","17,0","23,1"
2211000,Powiat pucki,"67,3","88,8","31,7","24,0","16,0","14,0","17,9"
2212000,Powiat słupski,"70,6","114,5","37,7","28,6","18,8","16,6","21,0"
2213000,Powiat starogardzki,"71,0","101,1","35,7","27,0","17,7","15,0","20,3"
2214000,Powiat tczewski,"70,3","113,2","37,3","28,6","18,8","15,8","21,7"
2215000,Powiat wejherowski,"68,3","82,2","30,8","23,5","15,5","13,5","17,5"
2216000,Powiat sztumski,"69,8","127,6","39,1","29,5","19,5","16,8","22,2"
2261000,Powiat m. Gdańsk,"67,1","138,2","38,9","31,9","20,8","17,4","23,9"
2262000,Powiat m. Gdynia,"73,6","171,9","46,6","37,7","23,9","20,4","27,0"
2263000,Powiat m. Słupsk,"79,1","192,2","52,0","40,8","25,4","21,1","29,2"
2264000,Powiat m. Sopot,"83,9","263,8","60,9","50,0","29,9","25,4","33,8"
2400000,ŚLĄSKIE,"73,6","148,7","44,0","34,1","21,9","18,4","25,2"
2401000,Powiat będziński,"76,3","169,4","48,0","37,9","23,9","19,9","27,6"
2402000,Powiat bielski,"72,6","110,9","38,2","29,2","19,0","16,3","21,5"
2403000,Powiat cieszyński,"74,8","126,9","41,8","32,3","20,6","17,5","23,6"
2404000,Powiat częstochowski,"71,8","144,1","42,4","32,6","21,2","18,2","24,1"
2405000,Powiat gliwicki,"70,7","122,7","39,0","29,8","19,4","16,5","22,2"
2406000,Powiat kłobucki,"70,7","140,3","41,3","31,8","20,8","17,8","23,7"
2407000,Powiat lubliniecki,"68,7","126,7","38,4","29,5","19,4","16,3","22,5"
2408000,Powiat mikołowski,"71,4","109,2","37,3","28,5","18,5","15,7","21,2"
2409000,Powiat myszkowski,"76,6","163,8","47,5","36,7","23,3","19,8","26,5"
